pedestrian_id,start_unix_ts,speed_mps,profile_json,ean
649,1749704406,1.06,"{""type"": ""leisure""}",3273120011141
649,1749704406,1.06,"{""type"": ""leisure""}",3350030202316
118,1749704475,0.8,"{""type"": ""browser""}",
842,1749704699,1.07,,3760094310917
842,1749704699,1.07,,3760305040947
337,1749704843,1.63,"{""type"": ""business""}",3660014113478
143,1749704930,1.07,"{""type"": ""leisure""}",3267850000018
481,1749704954,1.69,"{""type"": ""rushed""}",3250391104017
274,1749705007,0.69,"{""type"": ""browser""}",
411,1749705028,1.98,"{""type"": ""rushed""}",
633,1749705038,0.95,,3602826450273
633,1749705038,0.95,,3564700469965
633,1749705038,0.95,,3353210019810
633,1749705038,0.95,,20381417
795,1749705106,1.04,"{""type"": ""leisure""}",7640134912119
795,1749705106,1.04,"{""type"": ""leisure""}",3560070936106
795,1749705106,1.04,"{""type"": ""leisure""}",3274470002261
795,1749705106,1.04,"{""type"": ""leisure""}",3042069711142
795,1749705106,1.04,"{""type"": ""leisure""}",3760039501813
497,1749705322,1.96,,
276,1749705323,1.89,"{""type"": ""rushed""}",3416180016101
798,1749705330,0.82,"{""type"": ""browser""}",
721,1749705383,1.97,"{""type"": ""rushed""}",3222477170513
663,1749705387,0.95,"{""type"": ""leisure""}",4062300288010
663,1749705387,0.95,"{""type"": ""leisure""}",3450970070782
663,1749705387,0.95,"{""type"": ""leisure""}",3781604505500
323,1749705426,0.89,"{""type"": ""browser""}",
595,1749705485,1.41,"{""type"": ""business""}",3245390068682
595,1749705485,1.41,"{""type"": ""business""}",3254560025745
526,1749705564,1.64,,5413415200302
951,1749705704,0.92,"{""type"": ""leisure""}",3256228975980
937,1749705857,1.2,"{""type"": ""leisure""}",8480017119940
937,1749705857,1.2,"{""type"": ""leisure""}",3432130000013
937,1749705857,1.2,"{""type"": ""leisure""}",3596710338351
937,1749705857,1.2,"{""type"": ""leisure""}",3560070351237
56,1749705950,1.55,"{""type"": ""business""}",3419390003541
410,1749705966,0.67,"{""type"": ""browser""}",
882,1749706025,1.47,"{""type"": ""business""}",
878,1749706033,1.47,"{""type"": ""business""}",3434350006394
1,1749706039,1.9,"{""type"": ""rushed""}",
86,1749706082,1.63,"{""type"": ""business""}",3321950019636
86,1749706082,1.63,"{""type"": ""business""}",3456300015409
927,1749706153,1.19,"{""type"": ""leisure""}",3323790322181
927,1749706153,1.19,"{""type"": ""leisure""}",00125437
927,1749706153,1.19,"{""type"": ""leisure""}",3416185015499
927,1749706153,1.19,"{""type"": ""leisure""}",3282946015837
967,1749706192,1.13,"{""type"": ""leisure""}",3416180016217
967,1749706192,1.13,"{""type"": ""leisure""}",3596710404483
933,1749706244,1.08,"{""type"": ""leisure""}",3329630926502
933,1749706244,1.08,"{""type"": ""leisure""}",7640134912119
712,1749706331,0.88,"{""type"": ""browser""}",
674,1749706449,1.41,"{""type"": ""business""}",3222476416599
